Partidos,Result,Equipo
Partido 1,G,Cagliari
Partido 2,G,Empoli
Partido 3,G,Napoli
Partido 4,E,Internazionale
Partido 5,E,Udinese
Partido 6,E,Salernitana
Partido 7,G,Sampdoria
Partido 8,G,Lazio
Partido 9,G,Internazionale
Partido 10,E,Juventus
Partido 11,P,Spezia
Partido 12,G,Génova
Partido 13,G,Venezia
Partido 14,G,AS Roma
Partido 15,G,Empoli
Partido 16,P,Napoli
Partido 17,E,Udinese
Partido 18,P,Liverpool
Partido 19,G,Salernitana
Partido 20,G,Génova
Partido 21,P,Sassuolo
Partido 22,G,Atlético Madrid
Partido 23,P,Fiorentina
Partido 24,E,Internazionale
Partido 25,E,FC Porto
Partido 26,G,AS Roma
Partido 27,G,Torino
Partido 28,G,Bolonia
Partido 29,P,FC Porto
Partido 30,G,Hellas Verona